filename,width,height,class,xmin,ymin,xmax,ymax
MVIMG_20200127_161818_1.jpg,600,450,plastic,207,143,403,345
IMG_20200127_162103.jpg,600,450,plastic,80,80,210,193
IMG_20200127_162103.jpg,600,450,plastic,96,238,205,340
IMG_20200127_162103.jpg,600,450,cardboard,258,7,542,205
IMG_20200127_162103.jpg,600,450,cardboard,221,214,408,361
IMG_20200127_161702.jpg,600,450,cardboard,164,71,473,337
IMG_20200127_161832.jpg,600,450,plastic,157,137,305,295
IMG_20200127_161831.jpg,600,450,plastic,147,147,347,337
IMG_20200127_161723.jpg,600,450,cardboard,62,126,331,410
IMG_20200127_161723.jpg,600,450,cardboard,324,92,470,282
MVIMG_20200127_150515_1.jpg,600,450,cardboard,92,16,512,404
IMG_20200127_150517.jpg,600,450,cardboard,85,123,473,387
IMG_20200127_150508.jpg,600,450,cardboard,100,97,450,407
IMG_20200127_150521.jpg,600,450,cardboard,136,49,469,436
IMG_20200127_150511.jpg,600,450,cardboard,114,98,468,347
IMG_20200127_161827.jpg,600,450,plastic,222,194,387,322
IMG_20200127_161611.jpg,600,450,cardboard,135,2,577,379
IMG_20200127_161613.jpg,600,450,cardboard,176,55,566,407
IMG_20200127_161655.jpg,600,450,cardboard,88,99,413,346
IMG_20200127_161817_1.jpg,600,450,plastic,150,108,434,367
IMG_20200127_161829.jpg,600,450,plastic,159,144,400,377
IMG_20200127_150532.jpg,600,450,cardboard,175,137,487,374
IMG_20200127_161619.jpg,600,450,cardboard,128,2,509,319
IMG_20200127_161818.jpg,600,450,plastic,177,163,478,414
IMG_20200127_161700.jpg,600,450,cardboard,206,82,426,367
IMG_20200127_161846.jpg,600,450,plastic,204,138,322,346
IMG_20200127_161719.jpg,600,450,cardboard,189,98,472,363
IMG_20200127_161726.jpg,600,450,cardboard,101,118,288,408
IMG_20200127_161726.jpg,600,450,cardboard,311,237,456,417
MVIMG_20200127_161701.jpg,600,450,cardboard,189,87,440,393
IMG_20200127_161821.jpg,600,450,plastic,245,142,437,315
IMG_20200127_161620.jpg,600,450,cardboard,105,82,476,383
IMG_20200127_161835.jpg,600,450,plastic,172,146,383,354
IMG_20200127_150513.jpg,600,450,cardboard,81,25,438,408
IMG_20200127_162037.jpg,600,450,cardboard,158,66,529,348
IMG_20200127_162106.jpg,600,450,cardboard,236,99,540,227
IMG_20200127_162106.jpg,600,450,cardboard,193,235,360,378
IMG_20200127_162106.jpg,600,450,plastic,56,117,189,227
IMG_20200127_162106.jpg,600,450,plastic,70,275,173,367
IMG_20200127_145603.jpg,600,450,cardboard,106,77,500,428
IMG_20200127_145605.jpg,600,450,cardboard,179,86,434,398
IMG_20200127_161730.jpg,600,450,cardboard,119,39,400,351
IMG_20200127_161730.jpg,600,450,cardboard,357,226,521,406
IMG_20200127_164928.jpg,600,450,plastic,43,94,182,224
IMG_20200127_164928.jpg,600,450,plastic,380,16,497,149
IMG_20200127_164928.jpg,600,450,cardboard,187,97,344,281
IMG_20200127_164928.jpg,600,450,cardboard,293,226,511,450
IMG_20200127_162039.jpg,600,450,cardboard,170,62,559,450
IMG_20200127_161729.jpg,600,450,cardboard,107,22,389,327
IMG_20200127_161729.jpg,600,450,cardboard,317,222,484,401
IMG_20200127_161622.jpg,600,450,cardboard,120,44,470,384
IMG_20200127_145606.jpg,600,450,cardboard,94,92,467,406
IMG_20200127_161837.jpg,600,450,plastic,174,186,358,396
IMG_20200127_145609.jpg,600,450,cardboard,118,111,449,386
MVIMG_20200127_162038_1.jpg,600,450,cardboard,173,77,579,450
IMG_20200127_164930.jpg,600,450,cardboard,207,22,367,217
IMG_20200127_164930.jpg,600,450,cardboard,315,242,542,450
IMG_20200127_164930.jpg,600,450,plastic,407,35,539,180
IMG_20200127_164930.jpg,600,450,plastic,71,127,218,248
IMG_20200127_161823.jpg,600,450,plastic,168,149,448,393
IMG_20200127_161826.jpg,600,450,plastic,136,79,385,318
IMG_20200127_150512.jpg,600,450,cardboard,99,96,484,409
IMG_20200127_161654.jpg,600,450,cardboard,183,121,467,342
IMG_20200127_161843.jpg,600,450,plastic,120,122,380,353
IMG_20200127_150518.jpg,600,450,cardboard,87,134,490,402
00000IMG_00000_BURST20200127150548118_COVER.jpg,600,450,cardboard,154,97,514,403
00000IMG_00000_BURST20200127150547291_COVER.jpg,600,450,cardboard,73,122,439,450
IMG_20200127_161840.jpg,600,450,plastic,175,153,358,314
IMG_20200127_150503.jpg,600,450,cardboard,104,83,497,354
MVIMG_20200127_161610_1.jpg,600,450,cardboard,108,25,507,346
IMG_20200127_161701_1.jpg,600,450,cardboard,190,93,485,383
IMG_20200127_162110.jpg,600,450,plastic,179,94,298,205
IMG_20200127_162110.jpg,600,450,plastic,139,212,244,335
IMG_20200127_162110.jpg,600,450,cardboard,254,169,448,331
IMG_20200127_161722.jpg,600,450,cardboard,123,115,362,393
IMG_20200127_161722.jpg,600,450,cardboard,395,135,536,321
IMG_20200127_162052.jpg,600,450,plastic,48,118,198,235
IMG_20200127_162052.jpg,600,450,plastic,98,259,251,406
IMG_20200127_162052.jpg,600,450,cardboard,226,74,557,319
MVIMG_20200127_161849.jpg,600,450,plastic,189,139,399,315
IMG_20200127_161718.jpg,600,450,cardboard,118,20,489,348
IMG_20200127_161610.jpg,600,450,cardboard,157,85,525,354
IMG_20200127_162113.jpg,600,450,cardboard,275,2,580,282
IMG_20200127_162113.jpg,600,450,cardboard,242,228,424,381
IMG_20200127_162113.jpg,600,450,plastic,159,131,286,241
IMG_20200127_162113.jpg,600,450,plastic,114,240,223,359
IMG_20200127_161614.jpg,600,450,cardboard,130,1,505,393
IMG_20200127_161618.jpg,600,450,cardboard,106,74,473,371
IMG_20200127_161819.jpg,600,450,plastic,240,171,364,290
IMG_20200127_162038.jpg,600,450,cardboard,170,114,574,449
IMG_20200127_145558.jpg,600,450,cardboard,70,85,495,360
IMG_20200127_161716.jpg,600,450,cardboard,202,4,443,403
IMG_20200127_150515.jpg,600,450,cardboard,104,68,479,435
IMG_20200127_161844.jpg,600,450,plastic,78,45,442,385
MVIMG_20200127_161655_1.jpg,600,450,cardboard,187,100,503,379
00000IMG_00000_BURST20200127150544849_COVER.jpg,600,450,cardboard,104,90,515,372
IMG_20200127_150510.jpg,600,450,cardboard,112,35,489,419
IMG_20200127_145612.jpg,600,450,cardboard,114,78,470,352
IMG_20200127_162049.jpg,600,450,cardboard,220,13,537,275
IMG_20200127_162049.jpg,600,450,plastic,119,246,275,390
IMG_20200127_161704.jpg,600,450,cardboard,133,114,431,365
IMG_20200127_162101.jpg,600,450,cardboard,266,17,552,225
IMG_20200127_162101.jpg,600,450,cardboard,214,232,411,387
IMG_20200127_162101.jpg,600,450,plastic,78,247,222,399
IMG_20200127_162101.jpg,600,450,plastic,80,84,215,201
IMG_20200127_150527.jpg,600,450,cardboard,227,235,467,403
IMG_20200127_150529.jpg,600,450,cardboard,93,96,445,344
IMG_20200127_161838.jpg,600,450,plastic,123,127,368,365
IMG_20200127_161851.jpg,600,450,plastic,190,158,374,318
IMG_20200127_161608.jpg,600,450,cardboard,92,126,486,405
IMG_20200127_161842.jpg,600,450,plastic,192,68,378,264
IMG_20200127_150506.jpg,600,450,cardboard,136,81,519,392
IMG_20200127_150525.jpg,600,450,cardboard,187,96,409,264
IMG_20200127_161609.jpg,600,450,cardboard,96,90,495,445
MVIMG_20200127_161656.jpg,600,450,cardboard,202,128,523,417
IMG_20200127_161615.jpg,600,450,cardboard,118,93,531,450
MVIMG_20200127_162040.jpg,600,450,cardboard,151,82,448,370
IMG_20200127_150524.jpg,600,450,cardboard,157,128,404,294
